date,description,amount,type,category
30 Apr 2025,Savings Vault topup,5.0,expense,Savings
30 Apr 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
1 May 2025,Savings Vault topup,5.0,expense,Savings
1 May 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
2 May 2025,Savings Vault topup,5.0,expense,Savings
2 May 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
2 May 2025,Savings Vault topup,30.0,expense,Savings
2 May 2025,Saving vault topup prefunding wallet,30.0,expense,Savings
3 May 2025,Savings Vault topup,5.0,expense,Savings
3 May 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
4 May 2025,Savings Vault topup,5.0,expense,Savings
4 May 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
5 May 2025,Savings Vault topup,5.0,expense,Savings
5 May 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
6 May 2025,Savings Vault topup,5.0,expense,Savings
6 May 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
7 May 2025,Savings Vault topup,5.0,expense,Savings
7 May 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
8 May 2025,Savings Vault topup,5.0,expense,Savings
8 May 2025,Saving vault topup prefunding wallet,5.0,expense,Savings
9 May 2025,Savings Vault topup,5.0,expense,Savings
